label,topic,title,text
0,World,Peace talks resume in Middle East,Diplomats from across the globe gathered today to restart stalled negotiations regarding regional stability and border security.
1,Sports,Underdog team clinches championship title,"In a stunning upset, the city's newest franchise defeated the defending champions in a 4-2 victory during the final match of the season."
2,Business,Tech giant reports record quarterly earnings,Shares surged by 5% in after-hours trading as the company announced revenue growth that far exceeded analyst expectations.
3,Sci/Tech,NASA rover discovers organic molecules on Mars,The latest data transmitted from the Red Planet suggests that the building blocks of life may have existed in the ancient Martian lakebed.
0,World,New environmental treaty signed by 50 nations,The landmark agreement aims to reduce carbon emissions by 40% over the next decade through aggressive renewable energy investments.
1,Sports,Olympic sprinter breaks world record,The track and field world was left in awe as the 100m sprint record was shattered by a fraction of a second in the heat of the summer games.
2,Business,Global supply chain disruptions impact retail,Major retailers warn of potential shortages and price hikes as logistics bottlenecks continue to plague international shipping lanes.
3,Sci/Tech,Artificial Intelligence breakthrough in healthcare,A new neural network architecture has demonstrated the ability to diagnose rare diseases with higher accuracy than a panel of specialists.
0,World,Election results spark protests in capital,"Thousands took to the streets today to contest the validity of the weekend's parliamentary elections, citing reports of irregularities."
1,Sports,Quarterback signs multi-million dollar extension,"The league's most valuable player has committed to five more years with his current team, making him the highest-paid athlete in the sport's history."
2,Business,Central bank raises interest rates again,"In a bid to curb rising inflation, the central bank announced another quarter-point hike, signaling a tighter monetary policy ahead."
3,Sci/Tech,Quantum computing reaches new milestone,"Researchers have successfully maintained qubit coherence for a record duration, paving the way for more stable quantum calculations."
